name, address,number,Availability,BGroup
Central Hospital  Coal India Limited,"Coal India Limited, Margerita",,NO,B+
Tinsukia Civil Hospital Blood Bank,"Bordoloi Nagar, Tinsukia",0374 2308343,NO,B+
Tinsukia Blood Bank,"S.R. Lohia Road, Chiravapathy, IMA House, Tinsukia",0374 2332080,NO,B+
Sadar Hospital Aurangabad Blood Bank,Old  G.T. Road,06186 224533,NO,B+
Meera Nursing Home Blood Bank and Research Centre,"Pokharia Rd, Chitragupta Nagar, Begusarai,",06243 222250,NO,B+
Rastra Kavi Dinkar Blood Bank,"Sadar Hospital, Begusarai

",06243 220072,NO,B+
Deshratna Rajendra Prasad Memorial Rotary Blood Bank,"Kali Asthan,  P. O. Pokhanlya

","06243 243006, 06243-210354",NO,B+
Jawaharlal Nehru Medical College Hospital (JNMCH) Blood Bank,"Mayaganj, Tilkamanjhi, ",0641 2409555  ,YES,B+
Sadar Hospital Ara (Bhojpur) Blood bank,"Sapna Cinema Road, Nawada,",N/A,NO,B+
Sadar Hospital Ara Blood Bank,"Sadar Hospital Ara Blood Bank, Shivganj
",N/A,NO,B+
Maa Vindhyawasini Blood Bank ,"Pakari Chauk, Near Malti Hospital",,NO,B+
Indian Red Cross Blood Bank (IRCS) Blood Bank,"South Ramna Road, Bhojpur",,NO,B+
Sadar Hospital Buxar Blood Bank,"Old Campus of Sadar Hospital, Civil Line",,NO,B+
Darbhanga Medical College and Hospital (DMCH) Regional Blood Bank,"Darbhanga Surgery Building, Ground Floor, DMCH Campus, DMCH Road",06272 233 092,YES,B+
"Indian Red Cross Society Blood Bank, Motihari","Red Cross Society Sadar Hospital road, Motihari, Red Cross Bhawan, Hospital Road","06252 22202, 06252 232202",NO,B+
Duncan Hospital Blood Bank,"Near Nepal Custom Gate, East Champaran District, Raxaul","06255 220653, 06255 222641",NO,B+
Anugrah Narayan Memorial Magadh Medical College Hospital (ANMMCH) Blood Bank,Sher Ghati Road,0631 2410339,NO,B+
Bhagwan Mahabir Blood Bank,"Pilgrim Hospital Campus, G. B. Road, Chowk

",,NO,B+
" Sadar Hospital, Gopalganj Blood Bank","Ward No. 15, Gopalganj",06156-224754,NO,B+
Sadar Hospital Jamui Blood Bank,"185, Khan Hospital Road ",6345222820,NO,B+
"Amar Saheed Jagdeo Prasad, Sadar Hospital Jehanabad Blood Bank ","P G Road, Arwal More",06114 225857,NO,B+
Sadar Hospital Kaimur (Bhabua) Blood Bank ,"Kachahari Road, Kaimur",06189 223254,NO,B+
Katihar Medical College Blood Bank,"Karim Bagh, Post Box No. 23",06452 239202,YES,B+
"Sadar Hospital, Katihar Blood bank","Blood Bank, Sadar Hospital

",N/A,NO,B+
Sadar Hospital Khagaria Blood Bank ,"Ward Number 14, Khagaria",06244 222 134,NO,B+
Mata Gujri Memorial Medical College & Lions Kenra Hospital Blood Bank ,"Purabbali, Dinajpur Road","06456-223476, 06456-223475",YES,B+
Mata Gujri Memorial (MGM) Blood Bank,Medical College and Lions Seva Kendra Hospital Blood Bank,06456 223475,YES,B+
Sadar Hospital Kishanganj Blood Bank ,Hospital Road,"06456 223502, 06456 226464",NO,B+
Sadar Hospital Lakhisarai Blood Bank ,"Jamui - Lakhisarai Road, Jamui",6346232267,NO,B+
Sadar Hospital Madhepura Blood Bank ,"Near pani tanki chowk, Ward No:10",N/A,NO,B+
Sadar Hospital Madhubani Blood Bank,"National Highway-104, Post Office Road",,NO,B+
Sadar Hospital Muzaffarpur Blood Bank,"Sutapatti, Pokhraira, Near Muzaffarpur Railway Station","0625-2266055, 0625-2266056",NO,B+
Sinha Blood Bank Muzaffarpur,"Ward no. 5, Imlichatti Sinha Blood Bank (A unit of Dr. A.K. Sinha Nursing Home)
",0621 2216140,NO,B+
Sri Krishna Medical College Hospital (SKMCH) Blood Bank ,"National Highway 77, Uma Nagar, Rasulpur Saidpur Bazid
",0621 2233033,NO,B+
Krishna Devi Devi Prasad Kejriwal Maternity Hospital Blood bank,"Juran   Chapra, Road No.2, ",0621 2216309;2216410 ,NO,B+
Sadar Hospital Muzaffarpur Blood Bank,"Sadar Hospital Blood Bank Muzaffarpur, Near Muzaffarpur Railway Station, Hospital Road, 
",N/A,NO,B+
Nalanda Blood Bank (A Unit of Janata Karah Kalyan Samaj),"Nalanda Blood Bank (A Unit of Janata Karah Kalyan Samaj), Azizghat Main Rd, Baradari, Bihar Sharif,

","06112230856, 06112688765",NO,B+
"Red Cross Blood Bank, Sadar Hospital, Bihar Sharif","Indian Red Cross Society, opposite Sadar Hospital, near IMA hall",,NO,B+
Sadar Hospital Nawada Blood Bank ,"Sadar Hospital, Roh

",,NO,B+
 Hitech Emergency Hospital Blood Bank ,"(A keshaw Hospital Private Limited) Saguna More, Khagaul Road, Saguna More, Danapur Cantonment, ",0612 3262107,NO,B+
Bharat Blood Bank,"Churi Market, Near jahaji kothi, churi market Kadamkuan, ",0612 2675213,NO,B+
Kurji Holy Family Hospital Blood Bank,"Danapur Road, Sadaquat Ashram P.O, Kurji","0612 2252156, 0612 2264117, 0612 2262540",YES,B+
National Blood Bank & Resarch Center,"NC/ 2B Main Road, Kankarbagh, Near Sri Ram Hospital",0612 2355575,NO,B+
Nalanda Medical College and Hospital Blood Bank,"Agamkuan, Near Shitla Mandir",0612-2918523/2631159,YES,B+
Military Hospital Blood Bank,"Danapur Cantt
",N/A,NO,B+
Lions Mahavir Cancer Sansthan Blood Bank,"Mahavir Cancer Sansthan, Phulwarisharif
","0612 2250127, 0612 2253956 (Ext. Blood Bank - 400)",YES,B+
Tripolia Social Service Hospital and Blood Bank,Gulzarbarg,0612 2311065,NO,B+
Shashi Blood Bank,"Shashi Blood Bank, Ashok Rajpath, Patna",0612 2303365,NO,B+
Patliputra Blood Bank,"Opp. ENT Outdoor, Patna Medical College Hospital, Ashok Rajpath Road, Bankipur
",0612 2300840,NO,B+
Bihar State Patna Medical College and Hospital (PMCH) Blood Bank,"Ashok Raj Path, Bankipore

",0612 2300334,YES,B+
Indian Red Cross Society (IRCS) Patna Blood Bank,"Indian Red Cross Bhawan, North Gandhi Maidan",0612 2201035,YES,B+
Jaiprabha Hospital Model Blood Bank (MBB),"State of art Model Blood Bank,
Jai Prabha Hospital Campus, P.C.Colony, Kankarbagh, Near Ganga Devi Mahila Maha Vidyalaya",0612 2355805,,B+
Palm View Hospital Blood Bank,"Ambedkar Path, Nandanpur,
Near Jagdeo Path More, Khajpura, 
",,NO,B+
Lions Jeewan Blood Bank ,"C/o. Jeevak Heart Hospital & Research Institute Private Limited, D-6 Doctor&#39;s Colony, Kankarbagh,

","0612 2365814, 0612 2345895",NO,B+
Paras HMRI Hospital Blood Bank,"NH 30, Bailey Road, Raja Bazar","06127107828, 0612 710770 (Ext. 7828)",YES,B+
Indira Gandhi Institute of Medical Sciences (IGIMS) Blood Bank ,"Baily Road, Sheikpura, Raja Bazar, Near Sanjay Gandhi Botanical Garden","0612 2297631, 0612 2297099 (Ext - 125) ",YES,B+
Life Line Blood Bank,"Govind Mitra Road

",0612 2301600 ,NO,B+
 Vaatsalya Blood Bank,"Mahavir Vaatsalya Aspatal, East of Sadaquat Ashram,
L. C. T. Ghat","0612 2275657, 0612 2277528",NO,B+
Paras Hmri Hospital Blood Bank,"Baily Road, Raja bazaar",0612 7107777,,B+
Ruban Memorial Hospital Blood Bank,"19 Patliputra Colony, Near Patliputra Golambar

","0612 2270097, 0612 2270059",NO,B+
Jeevan Rekha Blood Bank,"(A unit of Sanjiwini Medicare Charitable Trust), Getwel Hospital, Rajabazar, Bailey Road",,NO,B+
Indian Red Cross Society (IRCS) Blood Bank,"Red Cross Blood Bank, Purnea, Red Cross Bhawan Line Bazar
",0654 244211,NO,B+
Sadar Hospital Purnia  Blood Bank ,"Sudin Chowk Road, Rajnikant Colony, Line Bazar, Purnea,",,NO,B+
Bose Clinic Blood Bank,"Dehral on Sone, Canal Road, Rohtas
",06184 25009,NO,B+
Sadar Hospital Sasaram Blood Bank,"Rauza Road, Laxkariganj, Near Head Post Office, Sasaram
",6184227105,NO,B+
Narayana Medical College and Hospital Blood Bank,"Jamuhar Sasaram, Rohtas
",06184 281888,YES,B+
Micro Blood Bank Sasaram,"Micro Blood Bank Raj Colony, Sasaram, Rohtas 
",06184 226371 ,NO,B+
Sadar Hospital Saharsa Blood Bank ,"Zila School Road, Police Line, Saharsa",,NO,B+
Indian Red Cross Society (IRCS) Samastipur Blood Bank ,"Sadar Hospital Samastipur Campus, Opposite Circuit House
",,NO,B+
Sadar Hospital Samastipur Blood Bank ,"14, State Highway 50, Azad Nagar, Samastipur, ",06274 222 331,NO,B-
Sadar Hospital Chhapra Blood Bank ,"Daroga Rai Chowk, Sadhapur, Chhapra,",,NO,B-
Sadar Hospital Sheikhpura Blood Bank,"Near Dallu Chowk, Sheikhpura,","06341 225172,  06341 225013",NO,B-
Sadar Hospital Sitamarhi Blood Bank,"NH 104, KVJ Nagar, Sitamarhi, ",,NO,B-
 Sadar Hospital Siwan Blood Bank,"SH 45, Babhnauli, Siwan",,NO,B-
P.N.H Mahatma Budh Educational and Research Centre Blood Bank ,"Mahatma Budh Educational and Research Centre, situated at Popular Nursing Home, East of Gandhi Maidan",06154 245245,NO,B-
Sadar Hospital Hajipur Blood Bank ,"hospital road, hajipur, Near Civil Court
",,NO,B-
Maharani Janki Kunwar (MJK) Hospital Blood Bank,"Bettiah, West Champaran",,NO,B-
"Department of  Transfusion Medicine, PGIMER Blood Bank","Blood Bank, Department of Transfusion Medicine, Nehru Hospital, PGIMER, Sec-12, Chandigarh. ",0172 2756481 ,YES,B-
Rotary and Blood Bank Society Resource Centre,"Plot No:4, Dakshin Marg, Sector 37A, Chandigarh",0172 2696057 ,YES,B-
Government Medical College and Hospital Blood Bank ,"Department of Transfusion Medicine ,Government Medical College and Hospital, Sector-32, Chandigarh","0172 2665253, 0172 2601023 (Extn. 1166)",YES,B-
Government Multispeciality Hospital Blood Bank,"Blood Bank, Government Multispeciality Hospital, Room No. 164 Sector 16 Chandigarh.",0172 2701288,NO,B-
District Hospital Blood Bank Baloda Bazar,Baloda,,NO,B-
Maharani Hospital Blood Bank ,"Lt. brkm .govtmedical college jagdalpur
chandni chouk jagdalpur",07782-225958,NO,B-
District Hospital Blood Bank Bemetara,Bemetara,,NO,B-
District Hospital Blood Bank Bijapur,Bijapur,,NO,B-
Chhattisgarh Insititute of Medical Sciences (CIMS) Blood Bank ,"Gond Para, Gole Bazar","07752221425, 077522 30030",YES,B-
Bilaspur District Hospital Blood Bank ,"Sardar Vallabhbhai Patel District Govt Hospital, old bus stand road
Opposite to Rajeev plaza",07752 421898,NO,B-
Meghani Blood Bank Bilaspur,"Main Road, Bilaspur",N/A,,B-
Apollo Hospital Blood Bank ,"Village - Lingyadih, Seepat Road",07752 248300 - 1030/31,YES,B-
"Shri Rawatpura Sarkar Lok Kalyan Trust, Bilasa Blood Bank ","2nd Floor, Bhawe Razab Ali Chamber, 
Opposite to CIMS Hospital, Sadar Bazaar, Bilaspur",7752656422,YES,B-
Ekta Blood Bank,"C/O Thalassemia Society,Near Abhiyanta Bhawan,Magarpara",N/A,YES,B-
NMDC Apollo Hospital Blood Bank,"Bailadila Iron Ore Mines, Bacheli, Dantewada",07857 230050,NO,B-
District Hospital Blood Bank Dantewada,"Civil Surgeon, District Hospital, Dantewada",07856 252830 ,NO,B-
NMDC Project Hospital Blood Bank,"Bailadila Iron Ore Mine, Kirandul Complex",7857255229,NO,B-
Dhamtari District Hospital Blood Bank ,"Civil Surgeon, District Hospital, Dhamtari",N/A,NO,B-
Dhamtari Christian Hospital,"Industrial Area, Raipur Road, Dhamtari", 077222 40362,NO,B-
B.S.R. Cancer Hospital,"B.S.R. Cancer Hospital (P.A.) Limited, Junwani Road, Smriti Nagar, Bhilai, Near T.I. Mall",7884085100,YES,B-
Chandulal Chandraker Memorial (C.C.M.) Medical College Blood Bank,"Kachandur, Kurud-Road",0788 6006061,YES,B-
M/s Shri Shankaracharya Blood Bank,"Shankaracharya Institute of Medical Sciences, Junwani",,,B-
Durg District Hospital  Blood Bank,"Civil Surgeon, District Hospital, Durg",7882219888,YES,B-
J.L.N Hospital & Research Center  Blood Bank,Sector-9 Bhilai,0788 2856020,YES,B-
Chandulal Chandrakar Memorial Hopsital Blood Bank,"Chandulal Chandraker Memorial Hospital, GE Road, Bhilai, Durg.",N/A,YES,B-
"Gayatri Blood Bank, Durg","OM Parisar, Dhamdha Road",N/A,,B-
Janjgir District Hospital Blood Bank ,"Distrcit hospital premises,Janjgir",,NO,B-
Jashpur District Hospital Blood Bank ,Distrcit hospital premises,Purushottam Kunwar,NO,B-
Kawardha District Hospital Blood Bank  ,"Civil Surgeon, District Hospital, Kawardha","07741 235553, 07741 233413",NO,B-
Kanker District Hospital Blood Bank  ,"Civil Surgeon, District Hospital, Kanker",7868241063,NO,B-
"Indira Gandhi District Hospital Blood bank, Kobra","Rajgamar Road, Kosabadi Korba
",N/A,NO,B-
Nehru Centenary Hospital Blood Bank,"SECl Gevra Area, Gevra Project","07815275309, 07815262456",NO,B-
"Bilash Blood Bank,KORBA","HIG-21, Ext. M. P. Nagar, Ghantaghar Chowk",7759644655,YES,B-
Lions Blood Bank,"Lahu ram Colony, Adarsh Nagar",07759-246951,,B-
"Distrcit Hospital Baikunthpur Blood bank, Korea","Jampara, Baikunthpur",N/A,NO,B-
Christian Hospital Blood Bank,"Tilak Ward Lormi Road,  Mungeli",775564003,NO,B-
Ramakrishna Mission Ashram Blood Bank,"Ramakrishna Mission Ashram, Narayanpur",07781 252370,NO,B-
District Hospital Blood Bank Mahasamund,"Mahasamund Raipur Road, Kharora Village",7723222203,NO,B-
District Hospital Blood Bank Raigarh ,"Civil Surgeon, District Hospital, Raigarh",N/A,NO,B-
O.P. Jindal Hospital & Research Centre Blood Bank ,"Jindal Education and Welfare Society, INN Plaza, Kharsia Road, Patrapali",07762 - 227034 (EXT: 43659),YES,B-
Sewa Blood Bank,"Opposite to Kirodimal district hospital, Gopi Talkies Road",07762 225400,NO,B-
"Dr B R Ambedkar Memorial Hospital, Model Blood Bank","Room No:120, 1st Floor, Attached with PT.J.N.M Medical College, Jail Road
",0771 2890090,YES,B-
Indian Red Cross Society Blood Bank,"Pt. J. N. M. Medical College premises, Jail Road, Raipur",0771 2880111,YES,B-
Thawait Blood Bank,"Flat No: 201, Rajeev Gandhi Complex, Balashram Katchery Chowk, Near State Bank of India",0771 4221709,YES,B-
City Blood Bank,"Adarsh Bazar, G.E Road, Near Vivekanand Ashram","07714032241, 07716460810",YES,B-
Sai Sahara Blood Bank,"Garcha Complex, Jail Road ",0771 2551050,YES,B-
Narayana Hrudayalaya MMI Blood Bank,"NHMMI Hospital Campus, Lalpur, Dhamtari Road",0771 4210902 (Ext-928),YES,B-
United Blood Bank,"New Bus Stand, Pandri, Hotel Guru Ki Gali Mein, Near Raja Talab,",077124 32002,,B-
SSD Blood Bank,"Katora Talab Chowk, Near Netaji Hotel, Opposite to Swapnil Nursing Home","0771 2432511, 07712422980",YES,B-
Chhattisgarh Blood Bank,"Agarainal Ramkrishna Care Hospital Premises, Opp. RKC Complex, Great Eastern Rd, Ramkund,  
Near Dhuppad Petrol Pump","0771 4088109,  077130 60518",YES,B-
Bilasa Blood Bank,"Sr. HIG -10,Sector-03, Shanker Nagar",0771-4009304,YES,B-
Srishti Blood Bank,"2nd Floor, Dhillon Complex, Near Sindhi School, Jawahar Nagar,",7354111119,YES,B-
Shree Narayana Hospital Blood Bank,"Near Ganj Mandi, Behind Sector - 5, Devendra Nagar, Pandri",0771 3001234,YES,B-
Rajdhani Blood Bank,"Main Road, Badhaipara
","0771 2292120, 0771 2292130",YES,B-
Evangelical Mission Hospital Blood Bank,"Tilda, P.O. Neora",07721 - 233599,NO,B-
Raipur Institute of Medical Science,"RIMS Knowledge Park, Bhansoj Road, Off NH-6,
",0771-3053060-88 (29 Lines),YES,B-
Aashirwad Blood Bank,"H. No. S-5, Rajiv Nagar, Shankar Nagar, Behind Cristal Arcade Complex",0771 4043768,YES,B-
AIIMS Blood Bank,Tatibandh,,,B-
Medical college& Hospital Blood Bank Rajnandgaon,Superitendant medical college& Hospital Rajnandgaon,N/A,NO,B-
bilasa blood bank rajnandgaon,District hospital premises,,NO,B-
District Hospital Blood Bank Sukma,Sukma,,NO,B-
District Hospital Blood Bank,Distrcit hospital premises,,,B-
Surguja District Hospital Blood Bank ,"Bilaspur Road, Ambikapur",N/A,NO,B-
Holy Cross Hospital Blood Bank,"Ambikapur, Surguja District ",077742 23733,NO,B-
Tej Blood Bank,"Plot No. 3528/47, Jail Road, Babupara
Opposite to Joda Talab",07774 222666,YES,B-
Indian Red Cross Society (IRCS) Blood Bank,"IRCS Red Cross House, Opposite to Bus Stand","0260 2640911, 0260 2640577",YES,B-
Daman Raktadan Kendra,"Government Hospital Marwad Campus,  Nani Daman.",0260 2255110,YES,B-
Diu District Blood Bank,"Govt Hospital
Near Sports Complex, Main Road, DIU",02875 252480,NO,B-
Indian Red Cross Society (IRCS) Blood Bank,"1, Red Cross Road, Near Parliament House",011-23711551,YES,B-
Dr. Ram Manohar Lohia Hospital Blood Bank,"161, Kali Bari Ln, Havelock Square, Type III, President&#39;s Estate, ","01123404291, 01123404298",YES,B-
Sucheta Kriplani Hospital Blood Bank,"C-604, Shaheed Bhagat Singh Marg, Connaught Place, Opposite to Shivaji Stadium Bus Terminal",011 23408271,YES,B-
Govind Ballabh (G.B.) Pant Hospital Blood Bank,"1, Jawahar Lal Nehru Marg, Delhi Gate 
","011-23232011, 011 23234242",YES,B-
"Regional Blood Tranfusion Center Blood bank, Central Zone","2 Jawarlal Nehru Marg, Delhi Gate, Near UBPH","011 23233809, 011 23231023",YES,B-
Kasturba Hospital Blood Bank,"Near Jama Masjid, Daryaganj",0112 3282915 ext 202,YES,B-
Sir Ganga Ram Hospital Blood Bank,"Old Rajindra Nagar, Near Janki Devi College","011 42251800, 011 42251868, 011 42251869, 011 42251872, 011 25750000, 011 25751111, 011 25735205, 011 25861463",YES,B-
Lal Bahadur Shastri Hospital Blood Bank,"Near Kalyanvas Colony / Mayur Vihar Phase -II, GNCTD Kichdipur ",011 22783633,NO,B-
Max Super Specialty Hospital Blood Bank,"Max Balaji Hospital (A unit of Balaji Medical and Diagnostic Research Centre), 108-A, Indraprastha Extension, Opposite Sanchar Apartment, Patparganj","011 66242515, 011 43033333",YES,B-
Dr. Hedgewar Arogaya Sansthan Blood bank,"F-18, Karkardooma","011 22301148, 011 22301149, 011 22309407",YES,B-
Lions Blood Bank East Delhi,"369, II Floor, FIE, Near M.C.D. Office, Patparganj Industrial Area
Near Punjab National Bank
","011 43009747, 011-42828091",YES,B-
Dharamshila Cancer Foundation and Research Centre Blood Bank,"4th floor, Vasundhara Enclave, Near New Ashok Nagar Metro Station",1143066436,YES,B-
Northern Railway Central Hospital Blood Bank,"Basant Lane, Connaught Place","011 23747989, 011 23744150, 011 23744170",NO,B-
Pushpawati Singhania Research Institute Blood bank,"Press Enclave Marg, Sheikh Sarai, Phase-II",1130611780,YES,B-
"Cardio Neuro Centre Blood Bank, AIIMS ","AIIMS, Ansari Nagar","011 26593625, 011 26593749",YES,B-
Hindu Rao Hospital Blood Bank,"G Block 4th floor, Near Civil Lines Malkaganj",011 23905713,YES,B-
St. Stephen&#39;s Hospital Blood Bank,"Tis Hazari, Opposite to Tis Hazari Metro Station","011 23966021, 011 23966022, 011 23966023, 011 23966024 ",YES,B-
Sant Pramanand Hospital Blood Bank,"18, Sham Nath Marg, Civil lines,","011-23981260, 011 23994401, 011 23994402",YES,B-
Swami Dayanand Hospital Blood Bank,Dilshad Garden ,"011 22581031, 011 22583809 ",YES,B-
Mission Jan Jagriti Blood Bank,"MGS Hospital, 35/37 Rohtak road, West Punjabi Bagh
Adjacent to Maharaja Aggarsen Hospital, Near Shivali park metro station ",011 47053443,YES,B-
Central Poly Clinic Blood Bank,"3, Gangan Vihar, Shahdara Road",,YES,B-
Sushruta Trauma Centre Blood Bank,"Civil Lines, 9, Metcalf Road","011 23906014, 011 23906028",NO,B-
Sanjay Gandhi Memorial Hospital Blood Bank,"S-Block, Mangolpuri","011 27922843, 011 27916137",YES,B-
Sunder Lal Jain Charitable Hospital Blood Bank,"Ashok Vihar, Phase-III",011 47030900,YES,B-
Max Super Specialty Hospital Blood Bank,"Max Super Specialty Hospital (A Unit of Max Health Care Institute Ltd), FC-50, Block C and D, Shalimar Bagh",011 66422222,YES,B-
Lions Blood Bank,"A.K.-100, Shalimar Bagh","011 42258080, 011 47122000 ",YES,B-
Mission Jan Jagriti Blood Bank,"1, Altius Sonia Hospital, Basement, 1, Gulshan Park, Rohtak Road, Nangloi Metro Station, Metro Piller Number 444","011 30580345, 011 30777777",YES,B-
Saroj Super Speciality Hospital  Blood Bank,"Saroj Super Speciality Hospital (Run by Ganesh Das Chowla Charitable Trust-Regd.), Sector-14, Rohini, Madhuban Chowk
","011 47903333, 011 27903276",YES,B-
Rajiv Gandhi Cancer Institute and Research Center Blood Bank,"Rajiv Gandhi Cancer Institute, Sector-V Rohini ","011 47022222, 011 27051011  ",YES,B-
Dr. Baba Sahab Ambedkar Hospital Blood Bank,"Sector-6, Rohini","011 27049950, 011 27055585",YES,B-
Delhi Heart and Lung Institute Blood Bank,"3 MM-11, Panchkuian Road","011 42999999, 011 42988899, 011 23538351",NO,B-
Park Hospital Blood Bank,"Keshopur Sabzi Mandi, New Chaukhandi, Vishnu Garden",011 45323232 ,YES,B-
Fortis Hospital Blood Bank,"A-Block, Shalimar Bagh",011 45302282,YES,B-
